Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text
0,Chinmaya chihnara,110,20,Excellent,5,"I love to used this OnePlus 11R device since 2 weeks,this smartphone charging speed is excellent, fully charged within 25 minutes, it gives 24 hr backup for me,used only for streaming online and this device having excellent processor,even there is no lag during playing BGMI or any other games, camera is decent and it's OS is my favourite, overall it's a excellent smartphone.."
1,AJAY SINGH,598,146,Wonderful,5,Awesome.
2,Mosarof Hossain,36,4,Terrific,5,"On of the best budget flagship phone. Decent Camera, top performance, cool looking. It's really amazing experience.."
3,Ankith Sharma,81,14,Perfect product!,5,Nice phone .very good gaming experiences.
4,C H Laskar,68,11,Super!,5,Wow 😍 mind-blowing ! Best all rounder smartphone in this price range..
5,Shubham Goel,25,2,Good quality product,4,Value for money.Camera is good.Performance is good.Everything related to this product is good..
6,Ravi Rawat,45,6,Fabulous!,5,Overall performance is great but the battery drains faster I hope it will be better.
7,Rasibaddin Mollah,54,9,Excellent,5,Awesome.
8,Flipkart Customer,11,0,Value-for-money,4,"Good mobile Mostly female section has to be loved this mobile and also people who mostly work by using mobile . display is looking awesome when watching videos in utube and also gaming getting 5g network properly  @,2;."
9,MANISH Singh,34,5,Worth every penny,5,Thank you flipkart.
10,Neha Chavan,8,0,Pretty good,4,"Awsmn Phone , loved it  .only problem is battery drains faster.."
11,Flipkart Customer,62,18,Just okay,5,Phone is good and their charging is very fast and phone is heavy but good.
12,Nagu Nagendra,67,20,Terrific purchase,5,Wonderful performance with camera in touch screen display design all.
13,Akshay  S,22,4,Just wow!,5,Worth for money.
14,Bhabani sankar Patra,57,17,Awesome,5,"Nice camera ,front camera is so good but slow charging not like that 100 watt super vook charging speed, curved display is looks beautiful...Performance is as well as 8th generation flagship level phone...Overally it's a good smartphone...But price is so high...."
15,Ikbal  Salim,18,3,Simply awesome,5,"Wonderful Mobile with wonderful features. Performance, camera , display build quality all are superb."
16,Akhand Pratap Singh,21,4,Worth every penny,5,Camera is excellent...
17,Nadeem  Ashraf,11,1,Highly recommended,5,Amazing performance in snapdragon 8gen 1 is a beat for multitaskingCamera is some time averageCharging is amazingBut battery drain is too fast like chargingDesign is awsm.
18,Arka prava Roy,11,1,Classy product,5,"Excellent display, Awesome Camera, Greate battery life."
19,Shamsul Bashar,7,0,Fabulous!,5,Camera Quality Rating 4 but everything else is great 😃👍🥰.
20,Flipkart Customer,5,0,Just wow!,5,"Good, and let's wait and see."
21,Dinesh Singh,8,1,Terrific,5,One plus mobile is....Best.
22,Kanha Lenka,31,15,Pretty good,4,Camera quality is awesome  but the selifi camera is not good performerd.
23,Satyam YADAV,7,1,Must buy!,5,Over all performance in excellent..Camera is to good also❤️.
24,NANDHU  VENUGOPAL,9,2,Terrific purchase,5,I have been using this phone for 3 months.Best phone under 40kRear Camera is best in segmentFront camera is decentWide camera is AvgPerformance is awesomeDisplay is also awesome Sound quality is awesome Battery backup is very nice 25 min for full charge No issues faced.
25,Prem Chaudhari,95,66,Great product,5,Wonderful product 😊.
26,Alok Mandal,3,0,Simply awesome,5,"Since this was my first phone in Android of this mid range. After so many research and reviews , finally chose this one. And I am happy that I made a good choice. This phone is really worth it in this price segment. From gaming experience to photography. It never disappoints me.The super fast vooc charging is something beyond my expectations. It is too awesome.You may go for this phone, even if you are not confident, it will never disappoint you.."
27,Shalini Dahiya Barman,4,0,Very Good,4,Nice mobile OnePlus.
28,Souvik  Majumder ,4,0,Must buy!,5,"Excellent, just looking like a wow . It's processor is monster and optimisation is just out of level."
29,Dipanjali Duya,4,0,Awesome,5,Awasome.
30,Arnab  Mukherjee ,4,0,Brilliant,5,"Product is good,, but it might be increase their battery ability."
