Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text
0,Rajiv  Bhatt,224,42,Good choice,4,Everything is correct except the battery . Battery drain too fast.
1,Pritam Kumar Patra ,248,53,Delightful,4,"Review for the OnePlus Note 3:1. **Performance: 8/10**   - Solid performance overall, handling daily tasks with ease.   - Smooth multitasking and responsiveness.2. **Battery: 5/10**   - Below-average battery performance.   - May struggle to last a full day with moderate to heavy usage.3. **Display: 9/10**   - Vibrant and immersive display.   - Sharp visuals with good color accuracy.4. **Sound: 7/10**   - Decent sound quality.   - Could be improved for a more immersive audio ex...."
2,Aisha Roy,191,36,Awesome,5,Happy to have this phone.
3,AnilRoy Customer,588,131,Wonderful,5,This range phone is good but phone need to upgrade battery level ...
4,Sonu Rao,654,157,Just wow!,5,Super.
5,Sudarshan Sethy,148,34,Value-for-money,4,Very good ????.
6,Anshul Vineet,20,1,Must buy!,5,"I have been using this mobile oneplus nord 3 for 2 week and this is my experience1. Display : is very good and can go to decent brightness. Watching videos is a good experience. 120fps mode looks good too. Not watched much hdr content on it. Also not sure how 120fps works with games. 2. Battery : It easily lasts full day of medium usage, and with 80 watt charger included battery charges from 0 to 100 in around 40 min. So battery is not a issue. Earlier used to charge my previous phone overn...."
7,Aditya Dixit,26,3,Great product,4,This phone is really nice..
8,Jaly Roy,144,30,Highly recommended,5,Nice camera ??.
9,Flipkart Customer,10,0,Wonderful,4,Good mobile phone.
10,Flipkart Customer,10,0,Wonderful,4,Good mobile phone.
11,Archit Singh,67,13,Brilliant,5,Good to go.
12,Kaustuv Mohanta,149,38,Brilliant,5,Amazing full worth it....
13,Arshad Hussain,88,23,Very Good,4,"Nord 3 product goodCamera ?? good,."
14,Subhadeep Sadhukhan,22,3,Good choice,4,On a scale of 5.Display ?? 5Performance4Battery ?? 4Front camera ?? 2.5Rear camera ?? 4Haptics 4.5Speaker ?? 4Design 4Connectivity 5Nothing will upset you if u buy this phone except for the front camera. This phone is performing astonishingly good in connecting 5G..
15,Prashanth Balla,234,70,Just wow!,5,I'm fully satisfied with1. Camera clarity. 2. Display n performance is like Butter ??3. Speaker is also loud n clear compare to any other phones.4. Design - Lightweght 5. Charging is very fast.Only thing is Battery need to be 6000mah atleast .Still 5000mah is good for daily use. As it is charging very fast no need to worry. I give 4.5/5*.
16,Ashish  Ansh ,15,1,Terrific purchase,5,Top notch picture quality and night mode is just incredible...I have seen reviews about battery but I m using it since  1 month and battery back up is awesomeIn short very power packed phone.
17,satish kumar,36,8,Nice product,4,Wow.
18,Manmohan  Bahuguna,213,75,Best in the market!,5,Camera quality so good..Thanks Flipcart.
19,anirudh ganwal,13,1,Best value for money,5,"At 22k, there's no way you can find a better phone.."
20,Ashwani  Rajput,36,8,Wonderful,5,Wishing OnePlus for a memory card slot for expand storage.
21,Naveen Reddy,117,39,Excellent,5,Super Camera.
22,Flipkart Customer,7,0,Wonderful,4,it is a very good product deatailed review will be uploaded.
23,Subhraprakash Santra,16,3,Delightful,4,1.Camera is good.2. Battery gives 5 to 6 hr in multitasking. 3.Display quality is awesome. 4.Duel speaker Sound is wonderful.5.Performance gives you max level in dimensity 9000 . You can play any game like makhhan . Gives 90 fps in pubg but 90 fps is not optimized . 60 fps is more than enough in gaming compare to other device in this range . 6.??One more important thing . If you are worried about heating issue . Trust me it doesn't heats up in Normal use even in normal gaming also .I....
24,Francis R Marak,11,1,Terrific purchase,5,Overall good ??.
25,Pushkar  Gurjar,7,0,Worth every penny,5,Good and I am fully satisfied.
26,Mukesh  Kumar,7,0,Super!,5,Smooth and fancy black colour.
27,aman raj,35,10,Simply awesome,5,Worth of money .Camera need to improve in this price segment .Picture quality in day is awesome but in night not too good.Specifications of the phone is awesome.Phone works very smoothly..
28,Brave Balaji,6,0,Good quality product,4,Camera is awesome and battery drained bit faster and when playing game mobile heating is 42degreeToo hot.
29,Amarjyoti Jena,6,0,Classy product,5,Perfect phone.
30,Devansh Rohit,6,0,Highly recommended,5,"I am using it from the last  4 months .Camera is ????Display, Brightness is ????Battery, Charging is ????Phone minor heat with heavy game use ,But it's commonPerformance is not so excellent like iqooBut it is good , no lag , no hang nothing at all.."
31,Kanaga Raj,5,0,Very Good,4,sound and phone performance is fantastic..no heating issues..no hanging and lagging.. display very smoothly.charging very fast..draw backs battery drains very fast..and to improve camera quality performance...
32,Rinky Sharma,7,0,Nice,3,This phone has very good performance.
33,Flipkart Customer,17,5,Great product,5,Awesome camera battery display and smooth running I love it.
34,Ashwin  Saji,5,0,Great product,5,"Overall, the phone is good. Performance is solid, with no lag in everyday use. The display is one of the best in this segment, with no issues using it in direct sunlight. The speakers are also good. It supports 80W charging, which is fast. However, the battery is slightly weak in this phone. For my use, it lasts for one day. I do play Call of Duty, and the gameplay is smooth.."
35,Mohan  Kalyan,5,0,Excellent,5,Worth varma worthuuu.....
36,Raghav Vashishth,5,0,Just wow!,5,"Perfect dilivery, and very nice device i got."
37,Sudarshan Kumar,5,0,Super!,5,Good parodact ??????.
38,pardip kumar,5,0,Wonderful,5,Very good ??.
39,Ajay  Singh,5,0,Excellent,5,Very nice.
40,Ashutosh Rana,22,5,Decent product,3,Performance 3/5Battery.         1/5Camera.         3/5Charging.       5/5Design.           5/5Gaming.         3/5 All is ok but battery performance is very bad ??Phone is very heated  in normal use it is very disappointing to meAfter that phone is like ok ....????.
41,Srimanth Sunny,4,0,Really Nice,4,"It's a complete package for around 30k the oxygen OS doing its job clean ui it's been a week using it everything is fine.Mainly the camera is top notch particularly selfie camera and ois is good,performance is good.the only thing I noticed is that the battery is draining a little quicker more or less give us about 5.5-6hrs .but thanks to the 80 w charger overall good phone for 30k."
42,Shubhadip giri Shubhadip,7,1,Terrific,5,Vare nice ???????? aim happy.
43,Mohanapriya  R,7,1,Great product,5,Really very happy with this purchase. First time I'm upgrade my mobile on oneplus. Nord 3 is just Awesome ??. Congrats oneplus team and Flipkart ????.
44,Sourav Hazari,4,0,Best in the market!,5,You can purchase this phone specially 20000 to  23000 . Other wise go to another phone..
45,Akash  Pachhal ,4,0,Worth every penny,5,Wonderful camera ?? ??.
46,Kamal Somani,8,1,"Poor Camera, Battery , Network. Do not waste your money.",3,I am really dissatisfied with the camera performance.. given that it has a flagship Sony IMX890 sensor .. but its really disappointing.. also Video performance is not good.poor Low light performance. Other phones with same camera sensor with better picture output. Also Battery is not good.. given its large 5000 mh battery it hardly last full day with light usages... hardly gives 3hrs of Screen on time. only plus is clean Software.. hope they can fix the camera performance..
47,Arvind Kumar,14,6,Great product,5,Enough for me ??.
48,Prasanta Halder,3,0,Good choice,4,This phone is really nice.
49,Flipkart Customer,3,0,Worth every penny,5,Very good phone but battery backup is not good.
50,Flipkart Customer,3,0,Wonderful,5,"Battery is good.SOT upto 7 hours with normal use.camera, display, performance is also good.If you get it around 20-25k it's the best on segment.none can beat it........"
51,Kiran  Das ,3,0,Brilliant,5,OnePlus Nord 3 5g - all over very good parfromens..
52,Rama krushna Babu,3,0,Terrific,5,Good product ??.
53,Mohd Kaif,3,0,Just wow!,5,Camera performance mind blowing ??.
54,Prashant Singh ,3,0,Excellent,5,Worth it .Camera is absolutely fantasticProcess is amazingDisplay is outstandingTotally worth it to spend money on this..Just a little fast battery drainage compared to others but it is nothing because it has 80W fast charging. Go for it ..
55,Kshitij Kashyap,3,0,Wonderful,5,"Good For Normal UsageCamera: Take good photos, portrait mode good but doesn't zoom. Not recommended for videography, too much over sharpening.Battery: Okay, 6-7 Hours SOT. Charging Time - 35 to 40 Minutes.Storage: System takes about 20GB, 100GB free available space. Go for 256GB varient if you can.User experience: Good user experience no lags in normal usage.."
56,Rajan Kumar,3,0,Must buy!,5,Worth the money..Nice phoneBattery draining issueUpdate may fix the issues.
57,Shaikh  Shahrukh ,3,0,Perfect product!,5,Osm product Flipkart fabulous product.
58,Ronit Purkayastha,2,0,Excellent,5,Nice..
59,Flipkart Customer,3,0,Highly recommended,5,"Phone is look good.design,camera, display all good.battery drain fastly.."
60,Krishna Baroi,3,0,Perfect product!,5,Excellent performance.
61,Syed  Zuber Ahmed,3,0,Wonderful,5,Awesome.
62,Jay Barman,12,6,Highly recommended,5,Amazing camera.
63,Gaurav  Yadav ,5,1,Worth every penny,5,Good OnePlus nord3 5g olit.
64,Deepak Singh,4,0,Fair,3,"Product camera and everything  are awesome.But his battery back-up is too rough, I observed without any use in standby I loss 28% charge in 8 hour.Finally Normally uses of this fone total battery back-up is 6 to 7 hours only.When I use fone continue from 95 % to 15 % only in 4 hour 16 minutes.."
65,Shiv pratap singh,8,3,Just wow!,5,Awesome product.
