,Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text,word_counts
902,903,Khalid .,1,3,Worst experience ever!,0,Please don't waste your money.Don't buy OnePlus nord 3 mobile.Battery drain issue.update issue..,136
42,43,Akshit Chauhan,11,11,Good quality product,1,Osm product.,19
1241,1242,Sk Nur hassan Nurhassan,0,0,Worth every penny,1,One plus Nord 3 nice products' Thank to one  plus 'Thank to Flipkart.,108
680,681,Manmohan  Bahuguna,213,75,Best in the market!,1,Camera quality so good..Thanks Flipcart.,56
370,371,Amarnath Mishra,0,0,Worth every penny,1,Awesome.,12
1332,1333,Dr Nadeem Ahmad,0,0,Wonderful,1,Velue for money.,26
674,675,Kaustuv Mohanta,149,38,Brilliant,1,Amazing full worth it....,38
669,670,Aditya Dixit,26,3,Great product,1,This phone is really nice..,43
101,102,Hrushikesh Nalawade,2,1,Terrific,1,"Best for display, good camera setup and good decent performance..",96
952,953,Vaibhav D Patil,0,0,Nice,1,Over weight and size are to big....not use for daily purposes and design are also big .... Difficult to carry in pocket.,187
1027,1028,Arun Kumar,0,0,Value-for-money,1,Excellent mobile performance and good camera ??.,70
1176,1177,Mohmmad Aarif,0,0,Super!,1,Nice product.,20
450,451,Saibal  Jana,0,0,Pretty good,1,Good product.,20
385,386,Ansarul,0,0,Nice,1,Good 👍.,14
347,348,Sivaprasad Sunkara,1,2,Pretty good,0,Super excellent 👌👌.,29
212,213,Bibin J,2,0,Terrific purchase,1,Nice.,9
831,832,Atul Aditya,1,0,Super!,1,"Great phone , especially at the price of 23k.",73
600,601,Ambrish Singh,0,2,Terrible product,0,Phone performance not up to the marks as per budget.,83
1071,1072,Aarif shakil patel Patel,0,0,Nice product,1,Awesome camera phone and awesome experience I really enjoyed this camera segment phone.,127
409,410,Mahendar K,0,0,Fabulous!,1,Good one.,16
828,829,Flipkart Customer,1,0,Perfect product!,1,Product is very good premium look and their design was awesome and only thing which can reduced his experience are battery and heating only this problem can occur.,248
1280,1281,POORN PRAKASH KUSHWAHA,0,0,Terrific,1,I am reviewing this phone after using one month.There is no concern with Camera and performance. Light and slim design with awesome look..It's is my first OnePlus Smartphone. I am very happy.Problem is with battery backup..Battery backup is low as per performance. You can't go for the day if you turn on the internet all day..There is heating problem if you are using charging and hotspot simultaneously..,608
596,597,Ravindra  Kumar ,0,0,Worth every penny,1,Good.,9
928,929,ASHISH  KUMAR,0,0,Wonderful,1,Best product.,20
938,939,Sunil Ghanekar,0,0,Super!,1,Very nice product.,28
1081,1082,Flipkart Customer,0,0,Wonderful,1,This product of very very best.,50
1371,1372,Flipkart Customer,0,0,Perfect product!,1,Wow.,8
146,147,C H Laskar,68,11,Super!,1,Wow 😍 mind-blowing ! Best all rounder smartphone in this price range..,107
434,435,Ketan Bhojaiya,0,0,Terrific purchase,1,Awesome gaming performance 🔥.,42
416,417,Glezing  Jyoti ,0,0,Mind-blowing purchase,1,Top model mobileCamera A1 i ❤️ this ph.,64
200,201,Ranjan  Thakur,2,0,Simply awesome,1,Superb phone with lowest price.,47
1346,1347,RATUL KHARWAR,0,0,Just okay,1,Good ?? safe delivery ??.,41
15,16,kislay khanduri,128,23,Not good,0,"This mobile device is experiencing an elevated temperature, reaching approximately 44 degrees Celsius, even with limited usage, such as watching a five-minute video. Regrettably, there appears to be a lack of adequate support from Flipkart in addressing this issue. Consequently, I can not recommend this product based on the aforementioned concerns..",505
1267,1268,Ahmad Salman ,0,0,Simply awesome,1,Every thing is ok and bettry is shortly time spend.,82
298,299,Flipkart Customer,1,0,Super!,1,I love one plus.,29
802,803,Chandra  Mohan Jha,1,0,Best in the market!,1,Nice ????.,17
155,156,Akshay  S,22,4,Just wow!,1,Worth for money.,26
561,562,Saurabh singh,0,0,Classy product,1,Awesome mobile phone.,31
32,33,raghavendra ankaiah,5,1,Awesome,1,Battery drains fast...but all other features are top notch...this is my first Samsung mobile...I am satisfied 😄 👌.,169
264,265,Uttam Singh,1,0,Good quality product,1,Nice product 👌 worth it. Thanks flipkart.,63
1328,1329,Krish Mehta,0,0,Could be way better,0,"Very bad battery backup, don't even last for one day even if wifi, bt, data, GPS is off and wallpaper is pure black.",186
1110,1111,Krishna  Thakur ,0,0,Must buy!,1,Very good phone better than vivo v30.,59
277,278,Rajat Kumar  Pradhan,0,0,Excellent,1,Honestly working like a charm 😉.,51
117,118,Flipkart Customer,0,1,Not good,0,Its too heating waste of money for this smartphone 35- 40 k do not buy this smartphone.,139
1227,1228,MD ARSAD ALI,0,0,Worth the money,1,Good ??.,15
339,340,Ajitsingh Ph,0,0,Classy product,1,Nice product.,20
483,484,Prabir Kumar Patra,0,0,Simply awesome,1,Camera quality was awesome 👍.,45
1015,1016,P.mrutyunjay jh,1,0,Don't waste your money,0,Display and performance too good but guys camera and battery not good very bad....,125
1219,1220,Thurpati Dharmesh,0,0,Highly recommended,1,Good.,9
119,120,Subhransu Ranjan Swain,0,0,Expected a better product,0,Overheating problem and the battery is draining very quickly..,90
